Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.17,-.29,-.05,-.38,-.13,-.02,-.81,-.49,-.29,-.15,-.11,-.04,.05,.66
1881,-.09,-.18,.00,-.36,.10,-.07,-.91,-.46,-.21,.10,.10,-.05,-.07,.59
1882,-.11,-.22,-.01,-.32,-.05,.01,-1.41,-.28,-.17,-.05,-.05,.01,.04,.62
1883,-.18,-.29,-.07,-.36,-.17,-.01,-.18,-.56,-.28,-.17,-.16,-.04,.07,.49
1884,-.29,-.43,-.15,-.62,-.15,-.14,-1.31,-.64,-.49,-.12,-.17,-.19,-.02,.64
1885,-.33,-.44,-.24,-.66,-.13,-.27,-1.50,-.68,-.48,-.06,-.20,-.33,-.15,.81
1886,-.32,-.44,-.20,-.58,-.20,-.21,-1.58,-.51,-.42,-.21,-.19,-.20,-.20,.58
1887,-.37,-.45,-.29,-.54,-.30,-.28,-1.76,-.51,-.31,-.30,-.31,-.28,-.26,.31
1888,-.18,-.24,-.12,-.43,.10,-.29,-1.30,-.43,-.26,.07,.13,-.31,-.22,.15
1889,-.11,-.18,-.04,-.30,.08,-.16,-.68,-.23,-.29,.02,.14,-.15,-.15,.44
1890,-.35,-.39,-.32,-.46,-.37,-.22,-1.14,-.57,-.28,-.27,-.47,-.17,-.27,.14
1891,-.23,-.26,-.19,-.43,-.08,-.21,-1.12,-.33,-.37,.00,-.16,-.18,-.23,-.16
1892,-.27,-.40,-.15,-.44,-.30,-.08,-1.15,-.65,-.18,-.33,-.26,.02,-.21,.08
1893,-.32,-.48,-.15,-.52,-.37,-.05,-.69,-.54,-.48,-.42,-.31,.07,-.20,-.05
1894,-.31,-.39,-.23,-.33,-.37,-.24,-.95,-.32,-.19,-.50,-.23,-.14,-.35,-.38
1895,-.23,-.31,-.16,-.41,-.09,-.26,-.67,-.53,-.28,-.15,-.03,-.19,-.31,-.59
1896,-.11,-.19,-.03,-.35,.10,-.15,-.88,-.38,-.23,.06,.14,-.15,-.13,.25
1897,-.11,-.16,-.05,-.36,.17,-.23,-.55,-.47,-.25,.14,.21,-.19,-.27,.40
1898,-.27,-.29,-.26,-.36,-.22,-.26,-1.14,-.25,-.24,-.18,-.26,-.27,-.21,.37
1899,-.18,-.21,-.14,-.24,-.12,-.18,-1.01,-.11,-.15,-.16,-.09,-.15,-.22,.58
1900,-.08,-.09,-.06,-.20,.18,-.30,-.53,-.17,-.16,.10,.26,-.29,-.29,.26
1901,-.15,-.12,-.18,-.16,-.04,-.30,-.36,-.11,-.15,-.06,-.02,-.27,-.33,.25
1902,-.27,-.32,-.22,-.52,-.03,-.35,-1.28,-.51,-.33,-.02,-.05,-.28,-.43,-.05
1903,-.37,-.37,-.36,-.46,-.28,-.38,-.16,-.43,-.57,-.23,-.33,-.35,-.40,-.50
1904,-.47,-.48,-.46,-.51,-.46,-.44,-.12,-.60,-.56,-.43,-.49,-.37,-.49,-1.32
1905,-.26,-.29,-.22,-.41,-.08,-.36,-.01,-.24,-.63,-.11,-.05,-.32,-.37,-.34
1906,-.22,-.23,-.21,-.26,-.19,-.23,-.24,-.07,-.40,-.20,-.17,-.20,-.22,-.72
